Date,Adj Close,Volume,Sentiments
29/1/20,313.555115,23914114,-1
30/1/20,307.857697,35802330,1
31/1/20,315.536804,92656638,-1
3/2/20,295.372955,56060158,1
4/2/20,303.448395,51141567,1
5/2/20,308.154938,35014841,1
6/2/20,319.004791,57757656,-1
7/2/20,317.617584,37126803,-1
10/2/20,315.586334,24816396,1
11/2/20,321.382843,30188757,-1
12/2/20,317.270813,38930849,1
13/2/20,324.454468,62516057,-1
14/2/20,316.478088,48205947,-1
17/2/20,311.325684,36950692,1
18/2/20,314.64502,38588583,1
19/2/20,317.419434,39846727,1
20/2/20,324.652618,40150409,-1
24/2/20,319.995636,45273936,1
25/2/20,323.810394,39050709,1
26/2/20,325.197632,43915281,-1
27/2/20,319.004791,47010040,-1
28/2/20,300.228149,59705346,-1
2/3/20,284.770844,66711413,1
3/3/20,287.198425,61949382,-1
4/3/20,282.690033,73675736,1
5/3/20,285.860779,149245973,-1
6/3/20,268.025452,106043172,-1
9/3/20,251.131424,101286241,-1
11/3/20,242.857819,90845604,-1
12/3/20,210.655121,99767083,1
13/3/20,239.786163,155701316,-1
16/3/20,221.306793,75583409,-1
17/3/20,213.181793,65403057,1
18/3/20,213.231339,101356399,-1
19/3/20,201.786987,93533467,1
20/3/20,207.930283,77391650,-1
23/3/20,179.938721,61750037,1
24/3/20,181.524078,67491360,1
25/3/20,188.162781,71567553,1
26/3/20,190.98671,107260359,1
27/3/20,194.15744,114740377,-1
30/3/20,185.190216,60081554,1
31/3/20,195.04921,59543412,-1
1/4/20,184.84343,52954239,-1
3/4/20,173.894516,64448494,1
7/4/20,184.694794,72130500,-1
8/4/20,181.325897,80435759,1
9/4/20,186.032455,62416005,-1
13/4/20,181.821335,51847146,-1
15/4/20,180.681854,72190004,1
16/4/20,186.775589,61165773,1
17/4/20,191.482132,89851063,-1
20/4/20,190.738998,81958510,-1
21/4/20,183.059891,53042420,1
22/4/20,186.973755,61503413,-1
23/4/20,184.99205,50955312,-1
24/4/20,178.105637,65137305,1
27/4/20,179.245117,42996571,1
28/4/20,182.614014,49590230,1
29/4/20,188.360962,57470466,1
30/4/20,188.757294,63063889,-1
4/5/20,177.213882,58118177,-1
5/5/20,168.841171,91050439,1
6/5/20,169.534775,73156432,-1
7/5/20,169.187973,42942399,-1
8/5/20,165.125473,55932236,-1
11/5/20,163.936447,54591827,1
12/5/20,165.373184,70752542,1
13/5/20,172.507324,81720683,-1
14/5/20,166.413574,48136531,-1
15/5/20,164.877762,35495540,-1
18/5/20,153.879303,77349435,-1
19/5/20,151.402176,71522334,1
20/5/20,151.996689,66168767,-1
21/5/20,150.559952,61147471,-1
22/5/20,149.470016,87064198,1
26/5/20,150.014984,48275988,1
27/5/20,157.149124,88195120,-1
28/5/20,156.752777,76968678,1
29/5/20,159.824417,58363280,1
1/6/20,168.49437,92740893,1
2/6/20,168.692535,70419104,1
3/6/20,173.300003,113168889,-1
4/6/20,172.457779,83494674,1
5/6/20,186.082001,201321234,-1
8/6/20,185.091141,151741826,-1
9/6/20,182.762634,96654191,1
10/6/20,185.98291,67333317,-1
11/6/20,175.529419,91726802,1
12/6/20,177.511124,92758901,-1
15/6/20,172.110977,63613412,-1
16/6/20,171.318298,63925976,1
17/6/20,171.367844,73866905,1
18/6/20,178.006546,58261857,1
19/6/20,182.81218,76895151,1
22/6/20,185.98291,80023958,1
23/6/20,190.689453,65487085,-1
24/6/20,182.91127,74668987,1
25/6/20,183.555328,73620385,-1
26/6/20,182.91127,49176958,-1
29/6/20,177.610214,50966428,-1
30/6/20,176.81752,43613239,1
1/7/20,183.109436,54012853,1
2/7/20,183.753494,52127276,-1
3/7/20,183.010345,38048810,1
6/7/20,186.329712,43773740,1
